feature_id,internal_standard,raw_data_filename,time_stamp,batch,sample_type,precursor_mz,product_mz,collision_energy,polarity,rt_apex,area,area_normalized,concentration,height,FWHM,rt_int_start,rt_int_end
CE 18:1,CE 18:1 d7 (ISTD),Longit_batch1_15.mzML,2017-10-20T20:07:09Z,1,SPL,668.6,369.3,10,+,7.295,1546866.9,4.0093794,4.0093794,297563.53,0.07127285,7.232,7.642
CE 18:1,CE 18:1 d7 (ISTD),Longit_batch1_16.mzML,2017-10-20T20:29:49Z,1,SPL,668.6,369.3,10,+,7.311,1407493.4,2.9154825,2.9154825,301992.66,0.062343597,7.232,7.642
CE 18:1,CE 18:1 d7 (ISTD),Longit_batch1_17.mzML,2017-10-20T20:41:10Z,1,SPL,668.6,369.3,10,+,7.311,1378911.3,3.9784167,3.9784167,272454.66,0.06815863,7.232,7.642
CE 18:1 d7 (ISTD),CE 18:1 d7 (ISTD),Longit_batch1_15.mzML,2017-10-20T20:07:09Z,1,SPL,675.7,369.1,10,+,7.295,385812.06,1,1,74335.87,0.06934166,7.184,7.642
CE 18:1 d7 (ISTD),CE 18:1 d7 (ISTD),Longit_batch1_16.mzML,2017-10-20T20:29:49Z,1,SPL,675.7,369.1,10,+,7.295,482765.16,1,1,92108.6,0.073168755,7.2,7.627
CE 18:1 d7 (ISTD),CE 18:1 d7 (ISTD),Longit_batch1_17.mzML,2017-10-20T20:41:10Z,1,SPL,675.7,369.1,10,+,7.295,346598,1,1,68612.94,0.06729317,7.216,7.642
PC 32:1,PC 33:1 d7 (ISTD),Longit_batch1_15.mzML,2017-10-20T20:07:09Z,1,SPL,732.6,184.1,21,+,4.683,2356357,0.53410846,0.53410846,395112.53,0.08081579,4.59,5.006
PC 32:1,PC 33:1 d7 (ISTD),Longit_batch1_16.mzML,2017-10-20T20:29:49Z,1,SPL,732.6,184.1,21,+,4.683,1600346.5,0.43305823,0.43305823,259794.3,0.085255146,4.59,5.006
PC 32:1,PC 33:1 d7 (ISTD),Longit_batch1_17.mzML,2017-10-20T20:41:10Z,1,SPL,732.6,184.1,21,+,4.683,1740901,0.40212145,0.40212145,302777.3,0.08121872,4.59,4.936
PC 33:1 d7 (ISTD),PC 33:1 d7 (ISTD),Longit_batch1_15.mzML,2017-10-20T20:07:09Z,1,SPL,753.2,184.1,21,+,4.55,4411757.5,1,1,768108.44,0.08084202,4.423,4.88
PC 33:1 d7 (ISTD),PC 33:1 d7 (ISTD),Longit_batch1_16.mzML,2017-10-20T20:29:49Z,1,SPL,753.2,184.1,21,+,4.532,3695453.3,1,1,562770.56,0.09564304,4.423,4.88
PC 33:1 d7 (ISTD),PC 33:1 d7 (ISTD),Longit_batch1_17.mzML,2017-10-20T20:41:10Z,1,SPL,753.2,184.1,21,+,4.55,4329291.5,1,1,763794.56,0.08195257,4.423,4.88